freq,unit,isced11,geo\TIME_PERIOD	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,THS_PER,ED0-4,MT	5.9 be	5.8 be	5.1 e	6.4 e	6.0 e	5.5 e	5.2 e	2.7 be	3.0 e	3.3 e	3.3 be	3.3 e	3.7 e	4.3 e	4.6 e	5.3 e	4.9 e	4.8 be	6.6 e
A,THS_PER,ED0-4,NL	154.1 e	146.4 b	142.8 b	149.5 e	142.4 	144.9 	144.1 	174.7 be	170.8 	163.8 b	164.9 b	170.6 	172.4 	170.9 	181.0 	185.9 b	191.4 	241.1 b	259.7 
A,THS_PER,ED0-4,NO	: 	: 	: 	: 	: 	: 	: 	51.5 be	51.4 e	49.3 e	48.4 be	44.9 e	40.0 e	45.6 e	45.5 e	46.8 e	49.1 e	49.2 be	44.8 e
A,THS_PER,ED0-4,PL	176.9 be	178.8 be	195.2 e	222.5 e	239.5 e	220.0 e	197.0 be	133.4 be	140.7 e	137.9 e	123.1 be	120.8 e	131.6 e	134.1 e	132.6 e	135.1 e	153.0 e	164.9 be	162.5 e
A,THS_PER,ED0-4,PT	79.4 be	82.6 be	87.8 e	91.0 e	86.5 e	84.9 e	83.5 e	52.7 be	54.5 e	61.8 e	68.3 be	62.1 e	65.4 e	64.9 e	66.8 e	69.0 e	73.1 e	88.3 be	79.3 e
A,THS_PER,ED0-4,RO	: 	72.7 be	102.8 e	108.8 e	102.7 e	98.0 e	84.8 be	45.7 be	54.4 e	45.2 e	45.8 be	48.7 e	50.5 e	59.3 e	58.5 e	50.8 e	48.1 e	47.8 be	49.2 e
A,THS_PER,ED0-4,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	22.0 e	27.0 be	22.9 e	25.7 e	27.0 e	29.6 e	31.6 e	33.8 e	40.9 be	36.6 e
A,THS_PER,ED0-4,SE	153.1 e	164.3 be	159.2 be	162.7 e	162.6 e	155.3 e	155.2 e	128.6 b	135.6 	132.3 	133.6 b	138.0 	135.1 	137.0 	140.1 be	146.7 e	157.1 e	152.5 b	153.0 
A,THS_PER,ED0-4,SI	19.4 e	20.5 be	21.2 e	19.0 e	21.7 e	20.6 e	21.2 e	17.1 be	15.3 e	15.1 e	14.9 be	14.6 e	14.1 e	12.9 e	15.4 e	15.2 e	15.2 e	16.4 be	15.8 e
A,THS_PER,ED0-4,SK	40.9 e	46.6 be	56.5 e	59.7 e	60.3 e	51.6 e	51.0 e	28.5 be	25.5 e	28.8 	26.2 be	26.3 e	30.8 e	26.9 e	29.5 e	29.6 e	36.2 e	40.5 be	38.0 
A,THS_PER,ED0-4,TR	: 	: 	: 	: 	: 	: 	: 	153.8 be	151.9 be	134.5 e	123.7 be	128.5 e	124.0 e	140.5 e	131.9 e	125.1 e	135.2 e	: 	: 
A,THS_PER,ED0-4,UK	: 	: 	: 	: 	: 	: 	: 	535.3 be	582.8 e	526.4 e	534.1 be	554.0 e	580.9 e	556.4 e	604.9 e	580.8 e	: 	: 	: 
A,THS_PER,ED5-8,AT	39.2 be	39.6 be	44.4 be	47.1 be	44.0 e	56.5 e	53.5 e	46.1 b	47.6 	51.6 e	88.4 b	96.5 	110.5 	118.7 	119.9 	118.1 	120.3 	122.1 b	148.2 
A,THS_PER,ED5-8,BE	101.4 e	99.4 be	102.8 e	113.0 e	107.4 be	117.1 e	132.1 e	126.8 be	136.7 	138.2 	145.1 b	143.6 	147.7 	176.7 b	188.4 	183.5 	187.3 	216.0 b	225.6 
A,THS_PER,ED5-8,BG	28.4 e	30.3 be	32.1 be	36.8 e	39.2 be	37.8 e	36.5 be	39.5 be	45.2 e	48.5 e	51.0 be	57.3 e	62.2 e	64.5 e	71.2 e	71.7 	76.7 	82.2 b	92.1 
A,THS_PER,ED5-8,CH	: 	: 	: 	: 	: 	: 	: 	101.9 b	118.2 	123.6 	123.8 b	128.0 	138.4 	143.4 e	153.0 	167.7 	167.3 	168.4 b	178.6 
A,THS_PER,ED5-8,CY	4.6 e	5.4 be	5.8 e	7.3 e	6.8 e	6.2 be	6.6 e	7.6 be	8.0 e	7.8 e	7.5 be	7.3 	7.7 	9.2 	11.1 	9.7 	10.5 	14.0 b	17.4 
A,THS_PER,ED5-8,CZ	41.6 e	52.7 be	56.9 e	62.2 e	67.1 e	78.8 e	85.4 be	87.4 b	83.2 	93.8 	97.1 b	99.8 	106.6 	107.6 	114.9 	113.6 	124.8 	140.1 b	130.1 
A,THS_PER,ED5-8,DE	581.7 e	651.7 be	644.7 be	649.9 e	679.5 e	708.8 e	717.7 be	565.6 be	627.7 b	643.5 	664.4 b	704.8 	764.0 	779.5 	814.2 	863.8 	977.1 b	1084.6 b	1144.2 
A,THS_PER,ED5-8,DK	59.2 e	57.9 be	70.0 e	59.3 be	61.2 be	59.4 e	61.0 e	54.0 be	59.4 e	59.0 e	62.2 be	63.0 e	72.8 be	77.6 be	78.9 e	82.1 e	86.2 e	94.4 b	100.7 
A,THS_PER,ED5-8,EE	9.4 u	8.3 be	11.6 e	11.8 e	13.3 e	11.8 e	12.4 e	11.6 be	13.3 	14.4 e	13.8 be	15.5 e	18.8 e	19.5 	21.1 	21.8 e	23.8 e	24.0 b	26.3 
A,THS_PER,ED5-8,EL	66.2 be	67.1 be	70.3 e	74.7 e	73.3 e	73.5 be	77.1 e	47.2 be	44.7 e	47.0 e	40.4 be	37.1 e	41.7 e	50.8 e	59.4 e	56.3 e	53.6 e	67.7 b	75.3 
A,THS_PER,ED5-8,ES	368.7 e	397.9 be	445.4 be	482.7 e	489.3 e	473.1 e	489.3 e	454.2 be	445.6 e	449.4 e	450.6 be	455.8 e	491.2 e	529.9 e	573.7 e	604.6 e	617.4 e	662.7 bd	728.1 d
A,THS_PER,ED5-8,EU27_2020	2648.1 e	2921.8 be	3130.4 e	3220.0 e	3310.9 e	3477.7 e	3541.8 e	3126.1 be	3282.9 e	3467.6 e	3708.0 be	3918.1 e	4185.4 e	4444.2 e	4723.0 e	4993.6 e	5373.4 e	5801.7 be	6118.3 e
A,THS_PER,ED5-8,FI	64.8 e	66.9 be	71.6 e	75.7 be	74.3 be	79.7 e	82.0 e	84.6 b	91.5 	99.3 	98.7 b	101.2 	103.6 	104.8 	107.1 	114.6 	131.7 	120.1 b	122.6 
A,THS_PER,ED5-8,FR	511.2 e	564.9 be	607.0 be	576.3 e	569.5 e	631.6 e	646.5 e	503.0 be	507.6 e	572.1 b	631.3 b	689.5 	746.8 	814.2 	848.9 	917.6 	984.2 	1005.6 bd	990.9 d
A,THS_PER,ED5-8,HR	12.9 u	14.7 bu	14.7 bu	15.9 e	20.0 e	19.8 e	20.8 be	22.0 be	19.9 e	20.4 e	26.8 be	25.9 e	27.6 e	29.5 e	35.1 e	31.2 e	35.3 e	36.7 be	41.6 e
A,THS_PER,ED5-8,HU	57.7 e	55.5 be	63.6 e	63.8 e	63.9 e	63.4 e	64.6 e	56.6 b	70.7 	80.8 	93.0 b	100.6 	103.6 	100.3 	106.6 	97.0 e	111.3 e	127.0 be	129.5 e
A,THS_PER,ED5-8,IE	46.0 e	45.4 be	48.2 e	55.8 be	56.6 e	56.0 e	58.5 e	68.9 be	71.7 e	73.7 e	73.0 be	75.3 e	84.3 e	88.8 be	86.8 e	90.1 e	106.2 e	120.5 be	128.2 e
A,THS_PER,ED5-8,IS	: 	: 	: 	: 	: 	: 	: 	3.2 be	2.9 e	3.4 e	4.1 be	4.1 e	5.1 e	5.6 e	5.4 e	5.8 e	6.3 be	5.3 be	6.3 e
A,THS_PER,ED5-8,IT	127.0 be	151.0 be	168.7 e	180.9 e	190.7 e	189.5 e	186.2 e	191.7 be	204.2 e	226.3 e	240.9 be	251.1 e	258.7 e	274.3 e	288.2 e	304.9 e	328.1 e	350.9 be	356.6 e
A,THS_PER,ED5-8,LT	16.7 u	12.8 bu	10.1 u	14.6 u	17.2 u	16.5 e	17.7 e	17.1 be	18.7 	18.1 e	17.6 b	22.3 e	27.5 	30.8 	30.7 	35.0 e	38.0 	44.0 b	48.6 
A,THS_PER,ED5-8,LU	3.9 e	5.0 be	3.3 e	3.9 be	5.6 e	6.1 be	6.5 e	6.3 b	8.4 	7.9 	9.2 b	9.2 b	9.4 	8.0 e	11.9 e	13.8 e	14.2 	15.7 b	18.0 
A,THS_PER,ED5-8,LV	11.0 e	11.1 be	9.2 e	12.2 e	13.8 e	12.5 e	12.6 e	12.9 be	11.7 e	12.9 e	12.8 be	15.5 e	16.4 e	16.6 e	13.9 e	17.3 e	21.2 e	21.9 be	25.1 
A,THS_PER,ED5-8,ME	: 	: 	: 	: 	: 	: 	: 	2.1 be	2.4 e	3.0 e	3.1 be	3.5 e	2.8 e	3.2 e	3.1 e	3.3 e	3.2 e	: 	: 
A,THS_PER,ED5-8,MK	: 	: 	: 	: 	: 	: 	: 	4.2 be	4.2 	4.0 	5.6 be	7.2 	7.7 e	7.5 e	8.3 e	9.5 	11.4 e	: 	: 
A,THS_PER,ED5-8,MT	1.9 bu	1.4 be	1.1 e	2.8 e	2.8 e	2.1 e	2.4 e	3.0 be	3.1 e	2.7 	3.5 b	4.3 e	4.5 e	5.2 e	6.9 	6.5 	6.5 e	7.9 be	7.1 
A,THS_PER,ED5-8,NL	171.8 	163.4 be	158.4 be	149.9 	170.9 	170.6 e	181.0 e	201.8 be	203.0 	218.9 b	227.4 b	241.7 	251.9 	260.9 	285.1 	312.9 b	330.5 	375.3 b	421.1 
A,THS_PER,ED5-8,NO	: 	: 	: 	: 	: 	: 	: 	59.2 b	62.1 	68.1 	71.0 be	73.5 e	71.8 e	76.5 e	77.0 e	79.8 e	87.0 e	98.8 be	101.3 
A,THS_PER,ED5-8,PL	166.1 be	190.4 be	215.1 e	229.1 e	234.4 e	280.2 e	274.1 be	221.3 b	252.6 	265.6 	290.1 b	304.5 e	301.9 e	318.9 	353.7 	376.0 	401.8 e	421.1 b	438.6 
A,THS_PER,ED5-8,PT	34.6 be	38.5 be	43.6 e	47.1 e	44.5 e	54.0 e	57.5 e	38.1 be	40.5 e	42.6 e	68.4 be	68.9 e	71.7 e	69.0 e	79.9 e	101.4 e	113.2 e	137.1 b	140.4 
A,THS_PER,ED5-8,RO	: 	50.8 be	82.3 e	89.1 e	96.1 e	93.1 e	76.7 be	79.3 be	85.1 e	91.9 e	94.4 b	112.4 	117.3 	126.3 	132.2 	146.9 e	155.2 	156.1 be	166.0 e
A,THS_PER,ED5-8,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	20.8 e	23.4 b	34.1 e	36.4 e	37.4 	38.9 	43.2 e	45.6 e	53.0 b	62.1 
A,THS_PER,ED5-8,SE	91.5 e	103.1 be	110.2 be	116.0 e	128.5 e	131.8 e	133.8 e	129.2 b	134.1 	134.6 	143.2 b	154.4 	175.4 	195.0 	206.2 be	212.8 e	221.4 e	253.9 b	293.0 e
A,THS_PER,ED5-8,SI	10.5 e	13.4 be	13.9 e	14.5 e	15.0 e	16.1 e	15.0 e	16.1 b	15.5 	15.5 e	17.3 b	18.5 e	18.2 	23.3 	23.7 e	23.4 e	27.3 e	30.1 b	29.0 
A,THS_PER,ED5-8,SK	20.1 e	23.2 be	25.2 e	27.7 e	26.2 e	31.8 e	34.3 e	34.1 b	33.2 	31.0 e	39.5 be	42.1 	43.4 	44.4 	53.1 e	66.9 	69.8 	70.1 b	73.9 e
A,THS_PER,ED5-8,TR	: 	: 	: 	: 	: 	: 	: 	87.9 be	139.0 be	149.1 e	168.5 be	187.1 e	200.6 e	204.8 e	223.8 e	225.0 e	227.5 e	: 	: 
A,THS_PER,ED5-8,UK	: 	: 	: 	: 	: 	: 	: 	850.6 be	929.8 e	943.0 e	977.3 be	1045.1 e	1082.0 e	1105.7 e	1148.6 e	1213.0 e	: 	: 	: 
A,THS_PER,NRP,BE	: 	: bu	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,THS_PER,NRP,CH	: 	: 	: 	: 	: 	: 	: 	1.1 bu	: u	: u	: bu	: u	: u	: u	: u	: u	: u	1.1 bu	1.7 u
A,THS_PER,NRP,CZ	: u	: 	: 	: 	: 	: 	: bu	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 
A,THS_PER,NRP,DE	57.7 e	: bu	: bu	: 	: u	: u	: bu	: bu	: bu	: u	: bu	: u	: u	: u	: u	: u	: bu	: bu	: u
A,THS_PER,NRP,DK	: u	: bu	: u	2.5 bu	2.4 bu	3.3 u	3.0 u	2.3 bu	2.1 u	4.1 e	: bu	: u	2.8 bu	2.7 bu	: u	: u	: u	: bu	: u
A,THS_PER,NRP,EE	: 	: 	: 	: 	: 	: 	: 	: bu	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,THS_PER,NRP,EU27_2020	63.8 e	4.5 be	5.0 e	7.5 e	9.2 e	10.3 e	10.1 e	8.6 be	9.1 e	14.1 e	8.6 be	11.4 e	14.1 e	14.8 e	12.8 e	15.8 e	20.1 e	18.1 be	16.5 e
A,THS_PER,NRP,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,THS_PER,NRP,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.7 bu	: bu	1.5 u	0.8 u	: u	: u	: u	: u	8.3 bdu	5.6 du
A,THS_PER,NRP,HR	: 	: 	: 	: 	: 	: 	: 	: 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,THS_PER,NRP,IE	: u	: bu	2.3 u	2.6 bu	2.4 u	3.1 u	3.2 e	: bu	: u	2.2 u	3.1 be	2.9 u	3.2 e	2.3 bu	2.5 u	: u	: u	: bu	: u
A,THS_PER,NRP,IS	: 	: 	: 	: 	: 	: 	: 	: bu	: u	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,THS_PER,NRP,LU	: 	: 	: 	: 	: 	: bu	: u	: bu	: u	: u	: bu	: bu	1.2 e	3.1 e	: u	: u	: u	: bu	0.8 u
A,THS_PER,NRP,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: u	: 	: 
A,THS_PER,NRP,NL	2.7 u	: bu	: bu	: u	: u	: u	1.7 u	3.0 be	4.1 e	4.7 be	2.1 bu	2.2 u	3.2 e	2.2 u	3.0 e	5.9 be	5.3 e	4.4 be	4.3 e
A,THS_PER,NRP,NO	: 	: 	: 	: 	: 	: 	: 	: 	: u	0.8 u	: 	: 	: 	: 	: 	: 	: u	: bu	: u
A,THS_PER,NRP,SE	: u	: bu	: bu	: u	: u	: u	: u	: bu	: u	: u	: bu	1.5 u	: u	1.2 u	: bu	: u	: u	: bu	: u
A,THS_PER,NRP,UK	: 	: 	: 	: 	: 	: 	: 	10.8 be	10.1 e	13.4 e	14.8 be	18.3 e	: u	: u	: u	: u	: 	: 	: 
