freq,nace_r2,geo\TIME_PERIOD	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,G-U_ICT,FR	3.74 	3.75 	3.77 	3.71 	3.59 	3.58 b	3.63 b	3.72 	4.09 b	3.88 	3.93 p	4.28 p
A,G-U_ICT,HR	3.79 	4.33 	3.81 	3.73 	3.69 	3.65 	3.72 	3.74 	3.9 	4 	4.37 b	4.87 
A,G-U_ICT,HU	4.08 	4.08 	3.86 	3.84 	4.04 	3.95 	4.07 	4.02 	4.12 	4.3 b	4.35 	4.55 
A,G-U_ICT,IE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,G-U_ICT,IS	: 	: 	: 	: 	: 	: 	: 	4.21 p	4.18 p	4.03 	4.2 p	4.63 p
A,G-U_ICT,IT	3.07 	3.16 	3.1 	3.17 	2.99 	2.98 	2.98 	3.05 	3.09 b	3.05 	3.1 	3.28 
A,G-U_ICT,LT	2.35 	2.29 	2.34 	2.37 	2.35 	2.49 	2.87 	2.9 	2.9 	3.03 b	3.33 	3.6 
A,G-U_ICT,LU	6.27 	6.71 	7.01 	6.9 	6.84 	7.68 	7.06 	6.4 	6.41 	6.72 	6.87 	6.2 
A,G-U_ICT,LV	3.18 	3.35 	3.16 	3.23 	3.52 	3.45 	3.69 	4.06 	4.27 	4.52 	4.93 	5.22 
A,G-U_ICT,MK	: 	: 	4.08 	4.08 	3.45 	3.15 	3.15 p	: c	: c	: c	: c	: 
A,G-U_ICT,MT	: c	: c	: c	: c	: c	: c	: c	: c	6.97 	6.56 	5.85 	7.33 
A,G-U_ICT,NL	: c	: c	4.5 	4.59 	4.68 	4.51 	4.47 	4.76 	4.68 	4.71 	4.69 	5.01 
A,G-U_ICT,NO	3.3 	3.22 	3.02 	3.08 	3.07 	3.17 	3.27 	3.36 	3.31 	3.26 b	3.64 	3.92 
A,G-U_ICT,PL	2.73 	2.83 	2.93 	2.87 	2.74 	2.82 	2.88 	3 	3.08 	3.27 b	3.33 	3.46 
A,G-U_ICT,PT	3.33 	3.36 	3.18 	3.18 	3.02 	3 	2.99 	3.05 	3.09 	3.14 	3.41 	4.02 
A,G-U_ICT,RO	2.87 p	2.8 	2.69 	2.8 	2.96 	3.1 	3.13 	3.39 	3.33 	3.47 b	3.42 	3.97 
A,G-U_ICT,RS	: 	: 	: 	: 	: 	: 	: 	4.13 p	4.2 p	4.28 	4.67 	5.46 
A,G-U_ICT,SE	: c	: c	: c	4.98 	5.02 	5.12 	6.07 	5.57 	4.95 	5.78 b	6.31 	6.89 
A,G-U_ICT,SI	2.85 	3.13 	3.12 	3.24 	3.26 	3.26 	3.25 	3.24 	3.33 	3.21 	3.39 	3.6 
A,G-U_ICT,SK	3.22 	3.35 	3.76 	3.75 	: c	3.41 	3.49 	3.46 	3.66 	3.66 	3.95 	4.17 
A,G-U_ICT,UK	5.15 	5.04 	5.21 	5.24 	5.37 	5.47 	5.62 	5.65 b	5.76 	5.94 	: 	: 
A,ICT,AT	3.14 	3.12 	3.25 	3.15 	3.23 	: c	3.37 	3.46 	3.49 	3.58 b	3.67 	3.63 
A,ICT,BA	: 	: 	: 	: 	: 	4.98 	4.83 be	4.62 be	: c	: c	: c	: c
A,ICT,BE	4.45 	4.51 	4.13 	4.13 	4.03 	3.82 	3.79 	3.78 	3.75 	3.97 b	4.21 	4.32 p
A,ICT,BG	4.84 	4.8 	4.63 	4.53 	4.69 	4.88 	5.02 	5.36 	5.72 	6.07 b	6.62 	7.37 
A,ICT,CY	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,ICT,CZ	4.44 	4.39 	4.34 	4.35 	4.34 	4.27 	4.24 	4.27 	4.36 	4.56 	4.71 	5.05 
A,ICT,DE	4.15 	3.91 	4.04 	4 	4.08 	4.17 	4.23 	4.13 	4.18 	4.39 b	4.38 p	4.44 p
A,ICT,DK	4.83 	4.62 	4.62 	: c	: c	: c	: c	: c	: c	4.58 	4.48 	4.6 
A,ICT,EE	4.98 	4.78 	5.03 	4.7 	4.6 	4.83 	4.74 	4.9 	5.12 	5.39 b	5.93 	6.83 
A,ICT,EL	: c	: c	2.11 	2.08 	1.99 	2.09 	2.27 	2.2 	2.01 	2.49 b	2.27 	3.23 p
A,ICT,ES	3.51 	3.44 	3.4 	3.37 	3.31 	3.2 	: c	: c	: c	3.28 b	: c	: c
A,ICT,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.89 	5.23 
A,ICT,FI	5.01 	5.17 	4.33 	3.62 	4.32 b	: c	4.54 	: c	5.42 b	4.85 	4.91 	5.79 
A,ICT,FR	4 	4.04 	4.06 	4.01 	: c	3.83 b	3.89 b	4 	4.33 b	4.31 	4.41 p	4.72 p
A,ICT,HR	4.04 	4.54 	3.98 	3.83 	4.04 	4.01 	4.13 	4.15 	4.3 	4.37 	4.47 b	4.99 
A,ICT,HU	5.7 	5.61 	5.9 	5.69 	5.78 	5.58 	5.72 	5.63 	5.96 	5.95 b	6.13 	6 
A,ICT,IE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,ICT,IS	: 	: 	: 	: 	: 	: 	: 	4.21 p	4.18 p	4.03 	4.2 p	4.63 p
A,ICT,IT	: 	: 	3.41 	3.47 	3.24 	3.21 	3.22 	3.27 	3.33 b	3.29 	3.35 	: c
