freq,nace_r2,geo\TIME_PERIOD	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,ICT,EE	3.01 	3.09 	3.33 	3.41 	3.48 	3.58 	3.6 	3.69 	4.09 	4.3 b	4.75 	4.95 
A,ICT,EL	: c	: c	1.29 	1.37 	1.23 	1.48 	1.44 	1.43 	1.44 	1.46 b	1.52 	1.63 p
A,ICT,ES	2 	2.04 	2.11 	2.21 	2.19 	2.21 	: c	: c	: c	2.48 b	: c	: c
A,ICT,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.99 	3.11 
A,ICT,FI	4.04 	3.93 	3.84 	3.8 	3.7 b	: c	3.7 	: c	3.73 b	3.79 	3.88 	4.06 
A,ICT,FR	: 	2.81 	2.85 	2.91 	2.84 	2.99 b	2.96 b	2.97 be	3.07 be	3.07 	3.1 	3.29 
A,ICT,HR	1.8 	1.95 	1.96 	1.93 	2.21 	2.24 	2.34 	2.39 	2.49 	2.57 	2.67 b	2.84 
A,ICT,HU	3.41 	3.65 	3.71 	3.64 	3.53 	3.41 	3.42 	3.49 	3.56 	3.6 b	3.75 	3.75 
A,ICT,IE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,ICT,IT	: 	: 	2.36 	2.37 	2.38 	2.32 	2.35 	2.42 	2.44 b	2.43 	2.45 	: c
A,ICT,LT	: c	1.79 	1.87 	1.98 	2.07 	2.22 	2.36 	2.46 	2.57 	2.64 b	2.79 	3.03 
A,ICT,LU	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,ICT,LV	1.91 	2.05 	2.15 	2.47 	2.62 	3.03 	3.28 	3.59 	3.84 	4.15 	4.13 	4.38 
A,ICT,MK	: 	: 	: 	: 	: 	: 	: 	1.54 p	1.74 	1.9 	2.04 	: 
A,ICT,MT	4.28 	4.08 	4.4 	4.05 	3.97 	4.13 	4.42 	4.63 	4.64 	4.63 	4.66 	4.58 
A,ICT,NL	3.1 	3.04 	3.06 	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,ICT,NO	2.84 	2.89 	2.91 	2.9 	2.9 	2.95 	3 	2.96 	3.03 	3.08 b	3.19 	3.3 
A,ICT,PL	1.58 	1.71 b	1.76 	1.84 	1.91 	2 	2.14 	2.29 	2.47 	2.54 b	2.7 	2.78 
A,ICT,PT	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	2.73 
A,ICT,RO	1.5 p	1.52 	1.66 	1.71 	1.84 	1.95 	2.1 	2.27 	2.36 	2.52 b	2.63 	2.74 
A,ICT,SE	4.43 	4.47 	: c	: c	: c	4.49 	: c	: c	: c	4.8 b	4.93 	4.95 
A,ICT,SI	: c	2.32 	2.34 	2.41 	2.52 	2.52 	2.61 	2.63 	2.66 	2.72 	2.78 	2.95 
A,ICT,SK	2.2 	2.72 	2.85 	2.79 	: c	2.86 	2.92 	3.04 	3.18 	3.31 	3.35 	3.48 
A,ICT,UK	3.25 	3.31 	3.25 	3.09 	3.32 	3.41 	3.47 	3.6 b	3.64 	3.43 	: 	: 
