freq,size_emp,nace_r2,indic_is,unit,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,0-9,C10-S951_X_K,E_DI_LO,PC_ENT,SK	: 	: 	27.4 b	: 	: 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,E_DI_LO,PC_ENT,UK	: 	: 	26.8 b	26.7 b	39.8 b	: 	: 	: 	: 
A,0-9,C10-S951_X_K,E_DI_VHI,PC_ENT,ES	: 	: 	0.3 b	0.0 b	0.4 b	: 	: 	: 	: 
A,0-9,C10-S951_X_K,E_DI_VHI,PC_ENT,PT	: 	: 	1.2 b	0.8 b	1.5 b	: 	: 	: 	: 
A,0-9,C10-S951_X_K,E_DI_VHI,PC_ENT,SE	: 	: 	0 b	: 	: 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,E_DI_VHI,PC_ENT,SK	: 	: 	0.2 b	: 	: 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,E_DI_VHI,PC_ENT,UK	: 	: 	0 b	0.4 b	0.7 b	: 	: 	: 	: 
A,0-9,C10-S951_X_K,E_DI_VLO,PC_ENT,ES	: 	: 	79.3 b	88.0 b	71.0 b	: 	: 	: 	: 
A,0-9,C10-S951_X_K,E_DI_VLO,PC_ENT,PT	: 	: 	62.8 b	71.6 b	54.4 b	: 	: 	: 	: 
A,0-9,C10-S951_X_K,E_DI_VLO,PC_ENT,SE	: 	: 	94.1 b	75.3 b	84.1 b	: 	: 	: 	: 
A,0-9,C10-S951_X_K,E_DI_VLO,PC_ENT,SK	: 	: 	66.0 b	: 	: 	: 	: 	: 	: 
A,0-9,C10-S951_X_K,E_DI_VLO,PC_ENT,UK	: 	: 	70.1 b	65.2 b	51.1 b	: 	: 	: 	: 
A,0_1,C10-S951_X_K,E_DI2_HI,PC_ENT,PT	: 	: 	: 	: 	: 	1.3 	: 	: 	: 
A,0_1,C10-S951_X_K,E_DI2_HI,PC_ENT,SE	: 	: 	: 	0.9 	: 	0.7 	: 	: 	: 
A,0_1,C10-S951_X_K,E_DI2_LO,PC_ENT,PT	: 	: 	: 	: 	: 	24.9 	: 	: 	: 
A,0_1,C10-S951_X_K,E_DI2_LO,PC_ENT,SE	: 	: 	: 	14.9 	: 	30.2 	: 	: 	: 
A,0_1,C10-S951_X_K,E_DI2_VHI,PC_ENT,PT	: 	: 	: 	: 	: 	0 	: 	: 	: 
A,0_1,C10-S951_X_K,E_DI2_VLO,PC_ENT,PT	: 	: 	: 	: 	: 	73.9 	: 	: 	: 
A,0_1,C10-S951_X_K,E_DI2_VLO,PC_ENT,SE	: 	: 	: 	84.2 	: 	69.1 	: 	: 	: 
A,0_1,C10-S951_X_K,E_DI3_GELO,PC_ENT,PT	: 	: 	: 	: 	: 	: 	: 	: 	: u
A,0_1,C10-S951_X_K,E_DI3_HI,PC_ENT,PT	: 	: 	: 	: 	: 	: 	1.9 	: 	2.2 
A,0_1,C10-S951_X_K,E_DI3_HI,PC_ENT,SE	: 	: 	: 	: 	: 	: 	0 	: 	: 
A,0_1,C10-S951_X_K,E_DI3_LO,PC_ENT,PT	: 	: 	: 	: 	: 	: 	9.5 	: 	: u
A,0_1,C10-S951_X_K,E_DI3_LO,PC_ENT,SE	: 	: 	: 	: 	: 	: 	16.2 	: 	: 
A,0_1,C10-S951_X_K,E_DI3_VHI,PC_ENT,PT	: 	: 	: 	: 	: 	: 	0 	: 	0 
A,0_1,C10-S951_X_K,E_DI3_VLO,PC_ENT,PT	: 	: 	: 	: 	: 	: 	88.5 	: 	: u
