freq,unit,age,geo\TIME_PERIOD	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,PC,Y15-34,NL	39.9 e	39.2 b	38.3 b	37.8 e	38.7 	36.1 	34.8 e	34.1 be	34.1 	34.4 b	33.9 	32.7 	33.7 	34.3 	34.8 	34.6 	36.3 	37.1 be	37.3 
A,PC,Y15-34,NO	: 	: 	: 	: 	: 	: 	: 	30.6 be	29.7 e	31.6 	31.2 e	31.6 e	31.7 e	32.1 e	34.1 	36.0 e	36.1 e	33.6 be	38.8 e
A,PC,Y15-34,PL	46.6 be	50.9 be	54.1 e	54.9 e	53.7 e	55.3 e	51.0 be	55.6 be	53.4 	51.9 	51.0 e	49.1 e	53.5 e	51.0 	46.1 	45.5 	42.9 	41.8 b	40.3 
A,PC,Y15-34,PT	55.0 e	55.3 be	53.6 e	53.3 e	54.9 e	54.4 e	51.3 e	46.1 be	44.3 e	41.6 e	41.3 e	39.1 e	36.9 e	37.7 e	41.3 e	40.9 e	37.8 e	36.9 be	41.0 
A,PC,Y15-34,RO	: 	42.7 be	40.8 e	45.0 e	45.3 e	45.4 e	42.0 be	50.4 be	48.6 e	51.5 e	51.8 	51.6 e	48.5 e	47.3 e	47.7 e	47.7 e	46.7 e	47.4 be	48.9 e
A,PC,Y15-34,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	32.5 e	35.9 be	41.0 e	39.8 e	39.9 e	43.4 e	48.0 e	50.7 e	43.9 b	43.3 e
A,PC,Y15-34,SE	35.7 e	34.3 be	33.9 e	34.5 e	33.3 e	32.1 e	31.4 e	32.1 b	32.2 	31.7 	30.7 	30.1 	30.1 e	31.5 e	31.7 b	31.9 	31.8 e	32.9 b	34.4 e
A,PC,Y15-34,SI	51.1 e	43.0 be	44.8 e	45.9 e	48.2 e	50.6 e	48.3 e	42.6 b	40.3 	45.9 	41.0 e	41.3 e	35.5 e	35.5 	37.0 e	36.6 e	40.3 e	34.7 be	33.5 
A,PC,Y15-34,SK	51.9 e	53.6 be	57.0 e	55.9 e	55.0 e	52.3 e	49.7 e	55.7 be	53.8 	52.9 	50.4 e	49.9 	46.6 e	44.8 e	48.0 e	43.6 	39.5 e	38.9 be	39.8 e
A,PC,Y15-34,TR	: 	: 	: 	: 	: 	: 	: 	63.9 be	68.6 be	68.4 e	67.7 be	66.2 e	66.3 e	64.4 e	62.8 e	59.2 e	57.7 e	: 	: 
